,RMSE,MAE,Correlation
RF,0.003339987308750533,0.002049036465342046,0.8275166765579299
GARCH,0.003459641243178223,0.0020667257383674685,0.8176372142614972
XGBoost,0.003465715874190636,0.0020922566275210094,0.8109711297880857
VIX,1.201631050164609,1.1175490389173512,0.7874984713973183
