Date,XGBoost_Forecast,RealizedVol
2014-02-06,0.009595103,0.00838559857913607
2014-02-07,0.007843815,0.008709546407185005
2014-02-10,0.008576601,0.008671276256285523
2014-02-11,0.0077251177,0.008900651479679153
2014-02-12,0.0076076062,0.008900727099370074
2014-02-13,0.009017232,0.008934264422903643
2014-02-14,0.006541706,0.00882876943690048
2014-02-18,0.0067155203,0.008831090342510398
2014-02-19,0.007172832,0.008899753079701143
2014-02-20,0.006753288,0.008898622120260675
2014-02-21,0.00659675,0.008905443659752639
2014-02-24,0.0063558817,0.00897612394866288
2014-02-25,0.006652395,0.008969641714444924
2014-02-26,0.007263937,0.008666912480689619
2014-02-27,0.0072115143,0.008489305330040513
2014-02-28,0.0071570766,0.008452255611278874
2014-03-03,0.008037412,0.008556183769513679
2014-03-04,0.0070061362,0.008964019948635958
2014-03-05,0.007276336,0.008949748677792184
2014-03-06,0.00808968,0.008954621939450626
2014-03-07,0.007870278,0.008805517524014102
2014-03-10,0.0076760375,0.007918901155944237
2014-03-11,0.008003459,0.007923246737350032
2014-03-12,0.0077159163,0.007844214227790068
2014-03-13,0.007707686,0.007914508611758096
2014-03-14,0.0068913638,0.007662979713138396
2014-03-17,0.0075083356,0.0077698284058006495
2014-03-18,0.007057022,0.0066568333789200525
2014-03-19,0.0076351995,0.006606281528397918
2014-03-20,0.008051724,0.006686890483566513
2014-03-21,0.0070461864,0.006317214225074725
2014-03-24,0.0076010185,0.005905878424216602
2014-03-25,0.0067742025,0.005953242746824613
2014-03-26,0.007029194,0.005749064975082897
2014-03-27,0.006662,0.005759331881258386
2014-03-28,0.0068373336,0.005724124320738739
2014-03-31,0.0064236093,0.00583737261798183
2014-04-01,0.006890589,0.005972472721011322
2014-04-02,0.0064881924,0.00587475647758091
2014-04-03,0.007135427,0.0057749255443286865
2014-04-04,0.0067227366,0.006207472728672424
2014-04-07,0.0067494935,0.006415511509343774
2014-04-08,0.008226736,0.006447115679617823
2014-04-09,0.0066118767,0.006745065559707993
2014-04-10,0.0077486197,0.007715733343838087
2014-04-11,0.008048635,0.00789327673718772
2014-04-14,0.008040509,0.007918839886440278
2014-04-15,0.007889979,0.007521086874494214
2014-04-16,0.008265689,0.007758576302103943
2014-04-17,0.0076757963,0.0077562338100089865
2014-04-21,0.007969647,0.00778606328657897
2014-04-22,0.0068665063,0.007821223435939016
2014-04-23,0.0068825246,0.007776236644737281
2014-04-24,0.0068316013,0.007782342170621111
2014-04-25,0.006805222,0.007625607467054718
2014-04-28,0.006665366,0.0076309673090851965
2014-04-29,0.0069202343,0.007478783357745922
2014-04-30,0.006686749,0.00738273301909644
2014-05-01,0.0066699088,0.007296880549853406
2014-05-02,0.0072175055,0.007217770255648624
2014-05-05,0.0068834615,0.007205912574027536
2014-05-06,0.007707224,0.007338250581767302
2014-05-07,0.0072199246,0.007365587749475798
2014-05-08,0.0065894485,0.007257401252543452
2014-05-09,0.0069502294,0.007254387874136109
2014-05-12,0.006213495,0.007416236557024925
2014-05-13,0.006485925,0.007275294555234304
2014-05-14,0.006566353,0.007213171437663577
2014-05-15,0.0067906966,0.00739650366684086
2014-05-16,0.007240488,0.007425103805374997
2014-05-19,0.0071224095,0.007093456110845828
2014-05-20,0.0067956652,0.006916644698785962
2014-05-21,0.0069106193,0.007039236545912107
2014-05-22,0.0069516473,0.006767997675228007
2014-05-23,0.006449834,0.005617485659786863
2014-05-27,0.0064604487,0.005451190991518863
2014-05-28,0.0064880466,0.005246376392682943
2014-05-29,0.0069744955,0.005193044776669114
2014-05-30,0.0060164365,0.0048427220759788584
2014-06-02,0.0056503294,0.004838148742588436
2014-06-03,0.0065027745,0.0047894899360467185
2014-06-04,0.0045522638,0.004743664956012974
2014-06-05,0.0063022994,0.004873274661790351
2014-06-06,0.0054900968,0.004935715883044141
2014-06-09,0.006091503,0.0047103890751598685
2014-06-10,0.0056441803,0.004673525932469299
